Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-10-29 13:55:45,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:55:53,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:56:01,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:56:09,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:56:17,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:56:25,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:56:34,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:56:42,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:56:50,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:56:58,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:57:06,$ Bad Value,$ Bad Value,$ Bad Value
