Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-11-04 19:40:27,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:40:38,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:40:49,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:41:00,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:41:11,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:41:22,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:41:33,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:41:45,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:41:56,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:42:07,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:42:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:42:29,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:42:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:42:51,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:43:02,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:43:13,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:43:24,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:43:35,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:43:46,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:43:57,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:44:08,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:44:19,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:44:30,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:44:41,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:44:52,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:45:03,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:45:14,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:45:25,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:45:37,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:45:48,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:45:59,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:46:10,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:46:22,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:46:33,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:46:44,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:46:55,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:47:06,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:47:17,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:47:28,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:47:39,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:47:50,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:48:01,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:48:12,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:48:23,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:48:34,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:48:45,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:48:56,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:49:07,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:49:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:49:29,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:49:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:49:52,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:50:03,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:50:14,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:50:25,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:50:36,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:50:47,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:50:59,$ Bad Value,$ Bad Value,$ Bad Value
