Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-10-29 14:28:33,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:28:41,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:28:49,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:28:57,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:29:05,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:29:13,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:29:21,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:29:29,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:29:37,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:29:46,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:29:54,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:30:02,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:30:10,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:30:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:30:26,$ Bad Value,$ Bad Value,$ Bad Value
