Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-10-29 14:22:33,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:22:41,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:22:49,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:22:57,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:23:05,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:23:13,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:23:21,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:23:29,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:23:38,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:23:46,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:23:54,$ Bad Value,$ Bad Value,$ Bad Value
