Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-08-23 13:50:05,Laser Fire !,220,17
2024-08-23 13:50:09,"Laser Fire !
Laser Fire !",220,17
2024-08-23 13:50:13,Laser Fire !,220,15
2024-08-23 13:50:17,Laser Fire !,220,24
2024-08-23 13:50:22,Laser Fire !,220,24
2024-08-23 13:50:25,Laser Fire !,220,21
2024-08-23 13:50:30,Laser Fire !,220,17
2024-08-23 13:50:33,Laser Fire !,220,30
2024-08-23 13:50:38,Laser Fire !,220,26
2024-08-23 13:50:41,Laser Fire !,220,15
2024-08-23 13:50:46,Laser Fire !,220,21
2024-08-23 13:50:49,Laser Fire !,220,29
2024-08-23 13:50:54,Laser Fire !,220,17
2024-08-23 13:50:57,Laser Fire !,220,15
