Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-11-04 19:02:31,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:02:39,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:02:47,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:02:55,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:03:03,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:03:11,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:03:19,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:03:27,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:03:35,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:03:43,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:03:51,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:03:59,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:04:07,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:04:16,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:04:24,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:04:32,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:04:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:04:48,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:04:56,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:05:04,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:05:12,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:05:20,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:05:28,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:05:36,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:05:44,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:05:52,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:06:00,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:06:08,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:06:16,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:06:24,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:06:32,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:06:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:06:48,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:06:56,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:07:05,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:07:13,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:07:21,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:07:29,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:07:37,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:07:45,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:07:53,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:08:01,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:08:09,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:08:17,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:08:25,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:08:33,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:08:41,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:08:49,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:08:57,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:09:05,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:09:13,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:09:21,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:09:29,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:09:37,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:09:45,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:09:54,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:10:02,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:10:10,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:10:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:10:26,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:10:34,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:10:42,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:10:50,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:10:58,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:11:06,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:11:14,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:11:22,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:11:30,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:11:38,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:11:46,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:11:54,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:12:02,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:12:10,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:12:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:12:26,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:12:34,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:12:42,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:12:51,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:12:59,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:13:07,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:13:15,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:13:23,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:13:31,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:13:39,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:13:47,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:13:55,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:14:03,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:14:11,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:14:19,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:14:27,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:14:35,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:14:43,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:14:51,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:14:59,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 19:15:07,$ Bad Value,$ Bad Value,$ Bad Value
