Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-11-04 18:09:37,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:09:45,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:09:53,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:10:01,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:10:10,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:10:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:10:26,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:10:34,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:10:42,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:10:50,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:10:58,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:11:06,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:11:14,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:11:22,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:11:30,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:11:38,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:11:46,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:11:54,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:12:02,"$STANDBY$ Bad Value",$ Bad Value,$ Bad Value
2024-11-04 18:12:10,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:12:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:12:27,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:12:35,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:12:43,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:12:51,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:12:59,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:13:07,$ Bad Value,$ Bad Value,$ Bad Value
