Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-10-29 13:57:16,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:57:24,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:57:32,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:57:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:57:48,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:57:56,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:58:04,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:58:12,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:58:20,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:58:28,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:58:36,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:58:44,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 13:58:52,$ Bad Value,$ Bad Value,$ Bad Value
