Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-10-25 18:30:07,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:30:15,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:30:23,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:30:31,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:30:39,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:30:47,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:30:55,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:31:03,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:31:11,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:31:19,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:31:27,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:31:36,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:31:44,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:31:52,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:32:00,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:32:08,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:32:16,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:32:24,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:32:32,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:32:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:32:48,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:32:56,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:33:04,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 18:33:12,$ Bad Value,$ Bad Value,$ Bad Value
