Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-10-29 14:03:57,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:04:05,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:04:14,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:04:22,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:04:30,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:04:38,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:04:46,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:04:54,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:05:02,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:05:10,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:05:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:05:26,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-29 14:05:34,$ Bad Value,$ Bad Value,$ Bad Value
