Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-10-25 19:39:28,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:39:36,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:39:44,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:39:52,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:40:01,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:40:09,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:40:17,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:40:25,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:40:33,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:40:41,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:40:49,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:40:57,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:41:05,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:41:13,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:41:21,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:41:29,$ Bad Value,$ Bad Value,$ Bad Value
2024-10-25 19:41:37,$ Bad Value,$ Bad Value,$ Bad Value
