Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-11-04 18:28:24,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:28:32,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:28:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:28:49,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:28:57,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:29:05,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:29:13,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:29:21,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:29:29,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:29:37,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:29:45,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:29:53,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:30:01,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:30:09,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:30:17,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:30:25,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:30:33,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:30:41,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:30:49,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:30:57,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:31:05,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:31:13,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:31:21,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:31:29,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:31:38,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:31:46,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:31:54,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:32:02,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:32:10,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:32:18,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:32:26,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:32:34,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:32:42,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:32:50,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:32:58,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:33:06,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:33:14,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:33:22,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:33:30,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:33:38,$ Bad Value,$ Bad Value,$ Bad Value
